19:34:31: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 602 , 1354128383 , Head Shot ) Er's Head Shot hits Elite Practice Dummy for 602 Physical damage. 
04:34:57: ( 28 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 497313021 , Contempt ) Alienor's Contempt critically heals Alienor for 0. (170 overheal)
04:34:57: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (162 overheal)
04:34:57: ( 23 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 173 , 167933921 , Vex ) Alienor's Vex critically hits Normal Practice Dummy for 173 Death damage. 
04:34:57: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 399 , 102952919 , Bolt of Radiance ) Alienor's Bolt of Radiance hits Normal Practice Dummy for 399 Life damage. 
04:34:58: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 58 , 418298310 , Auto Attack ) Alienor's Auto Attack hits Normal Practice Dummy for 58 Physical damage. 
04:34:59: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1545154432 , Crystal Vine ) Alienor's Crystal Vine heals Alienor for 0. (150 overheal)
04:34:59: ( 27 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 81 , 1096897702 , Endless Winter ) Alienor's Endless Winter gives Alienor 81 Mana.
04:34:59: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (208 overheal)
04:34:59: ( 23 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 1156 , 428414027 , Jolt ) Alienor's Jolt critically hits Normal Practice Dummy for 1156 Air damage. 
04:34:59: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (82 overheal)
04:34:59: ( 8 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 0 , 1630486843 , Lightning ) Normal Practice Dummy is afflicted by Alienor's Lightning.
04:34:59: ( 23 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 456 , 1083839719 , Lightning Hammer ) Alienor's Lightning Hammer critically hits Normal Practice Dummy for 456 Physical damage. 
04:34:59: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 92 , 1441118300 , Sanction ) Normal Practice Dummy suffers 92 Life damage from Alienor's Sanction. 
04:35:00: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 497313021 , Contempt ) Alienor's Contempt heals Alienor for 0. (89 overheal)
04:35:00: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 91 , 167933921 , Vex ) Normal Practice Dummy suffers 91 Death damage from Alienor's Vex. 
04:35:01: ( 1 , T=P#R=O#211669182564756981 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Navarriel , Unknown , 0 , 2102262591 , Salvage Accessories ) Navarriel begins casting Salvage Accessories.
04:35:01: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1545154432 , Crystal Vine ) Alienor's Crystal Vine heals Alienor for 0. (150 overheal)
04:35:01: ( 27 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 81 , 1096897702 , Endless Winter ) Alienor's Endless Winter gives Alienor 81 Mana.
04:35:01: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (215 overheal)
04:35:01: ( 6 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1626474066 , Conviction ) Alienor gains Alienor's Conviction.
04:35:01: ( 23 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 177 , 418298310 , Auto Attack ) Alienor's Auto Attack critically hits Normal Practice Dummy for 177 Physical damage. 
04:35:01: ( 23 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 526 , 209670535 , Strike of Judgment ) Alienor's Strike of Judgment critically hits Normal Practice Dummy for 526 Life damage. 
04:35:01: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (43 overheal)
04:35:02: ( 23 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 248 , 1630486843 , Lightning ) Alienor's Lightning critically hits Normal Practice Dummy for 248 Air damage. 
04:35:02: ( 3 , T=N#R=O#9223372048392890467 , T=P#R=O#211669182505121621 , T=X#R=X#0 , T=X#R=X#0 , Abyssal Infiltrator , Bokor , 11 , 795641470 , Crushing Blow ) Abyssal Infiltrator's Crushing Blow hits Bokor for 11 Physical damage. 
04:35:03: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 92 , 1441118300 , Sanction ) Normal Practice Dummy suffers 92 Life damage from Alienor's Sanction. 
04:35:03: ( 6 , T=P#R=O#211669182505121621 , T=N#R=O#9223372051536360699 , T=X#R=X#0 , T=P#R=O#211669182505121621 , Bokor , Hornee , 0 , 156052578 , Combined Effort ) Hornee gains Bokor's Combined Effort.
04:35:03: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (62 overheal)
04:35:03: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 346 , 2129184048 , Massive Blow ) Alienor's Massive Blow hits Normal Practice Dummy for 346 Physical damage. 
04:35:03: ( 11 , T=P#R=O#211669182505121621 , T=N#R=O#9223372048392890467 , T=X#R=X#0 , T=X#R=X#0 , Bokor , Abyssal Infiltrator , 0 , 0 ,  ) Bokor has slain Abyssal Infiltrator!
04:35:03: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1545154432 , Crystal Vine ) Alienor's Crystal Vine heals Alienor for 0. (150 overheal)
04:35:03: ( 6 , T=P#R=O#211669182505121621 , T=P#R=O#211669182505121621 , T=X#R=X#0 , T=X#R=X#0 , Bokor , Bokor , 0 , 1281552105 , Invigorating Runeshard ) Bokor gains Bokor's Invigorating Runeshard.
04:35:03: ( 3 , T=N#R=O#9223372051536360699 , T=N#R=O#9223372048392890467 , T=P#R=O#211669182505121621 , T=X#R=X#0 , Hornee , Abyssal Infiltrator , 253 , 1969065958 , Enraged Assault ) Hornee's Enraged Assault hits Abyssal Infiltrator for 253 Physical damage. 
04:35:03: ( 3 , T=P#R=O#211669182505121621 , T=N#R=O#9223372048392890467 , T=X#R=X#0 , T=X#R=X#0 , Bokor , Abyssal Infiltrator , 403 , 156052578 , Combined Effort ) Bokor's Combined Effort hits Abyssal Infiltrator for 403 Physical damage. (195 overkill)
04:35:03: ( 6 , T=N#R=O#9223372041250412993 , T=N#R=O#9223372041250412993 , T=X#R=X#0 , T=X#R=X#0 , Sanctum Guard , Sanctum Guard , 0 , 431433303 , Touch the Light ) Sanctum Guard gains Sanctum Guard's Touch the Light.
04:35:03: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 497313021 , Contempt ) Alienor's Contempt heals Alienor for 0. (89 overheal)
04:35:04: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 91 , 167933921 , Vex ) Normal Practice Dummy suffers 91 Death damage from Alienor's Vex. 
04:35:04: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 130 , 1630486843 , Lightning ) Normal Practice Dummy suffers 130 Air damage from Alienor's Lightning. 
04:35:04: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (92 overheal)
04:35:04: ( 6 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1626474066 , Conviction ) Alienor gains Alienor's Conviction.
04:35:04: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 65 , 418298310 , Auto Attack ) Alienor's Auto Attack hits Normal Practice Dummy for 65 Physical damage. 
04:35:04: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 224 , 209670535 , Strike of Judgment ) Alienor's Strike of Judgment hits Normal Practice Dummy for 224 Life damage. 
04:35:05: ( 27 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 81 , 1096897702 , Endless Winter ) Alienor's Endless Winter gives Alienor 81 Mana.
04:35:05: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (208 overheal)
04:35:05: ( 1 , T=P#R=O#211669182564756981 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Navarriel , Unknown , 0 , 2102262591 , Salvage Accessories ) Navarriel begins casting Salvage Accessories.
04:35:05: ( 23 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 1156 , 428414027 , Jolt ) Alienor's Jolt critically hits Normal Practice Dummy for 1156 Air damage. 
04:35:06: ( 9 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 0 , 1630486843 , Lightning ) Alienor's Lightning dissipates from Normal Practice Dummy.
04:35:06: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 130 , 1630486843 , Lightning ) Normal Practice Dummy suffers 130 Air damage from Alienor's Lightning. 
04:35:06: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 92 , 1441118300 , Sanction ) Normal Practice Dummy suffers 92 Life damage from Alienor's Sanction. 
04:35:06: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (311 overheal)
04:35:06: ( 6 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1626474066 , Conviction ) Alienor gains Alienor's Conviction.
04:35:06: ( 23 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 758 , 102952919 , Bolt of Radiance ) Alienor's Bolt of Radiance critically hits Normal Practice Dummy for 758 Life damage. 
04:35:06: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 91 , 167933921 , Vex ) Normal Practice Dummy suffers 91 Death damage from Alienor's Vex. 
04:35:07: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 497313021 , Contempt ) Alienor's Contempt heals Alienor for 0. (89 overheal)
04:35:08: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 59 , 418298310 , Auto Attack ) Alienor's Auto Attack hits Normal Practice Dummy for 59 Physical damage. 
04:35:08: ( 23 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 542 , 1083839719 , Lightning Hammer ) Alienor's Lightning Hammer critically hits Normal Practice Dummy for 542 Physical damage. 
04:35:08: ( 27 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 81 , 1096897702 , Endless Winter ) Alienor's Endless Winter gives Alienor 81 Mana.
04:35:08: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (96 overheal)
04:35:08: ( 8 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 0 , 1630486843 , Lightning ) Normal Practice Dummy is afflicted by Alienor's Lightning.
04:35:09: ( 9 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 0 , 1441118300 , Sanction ) Alienor's Sanction dissipates from Normal Practice Dummy.
04:35:09: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 92 , 1441118300 , Sanction ) Normal Practice Dummy suffers 92 Life damage from Alienor's Sanction. 
04:35:09: ( 7 , T=P#R=O#211669182711962949 , T=P#R=O#211669182711962949 , T=X#R=X#0 , T=X#R=X#0 , Isine , Isine , 0 , 1901161944 , On the Double ) Isine's On the Double fades from Isine.
04:35:09: ( 7 , T=P#R=O#211669182711962949 , T=P#R=O#211669182711962949 , T=X#R=X#0 , T=X#R=X#0 , Isine , Isine , 0 , 1901161944 , On the Double ) Isine's On the Double fades from Isine.
04:35:09: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 497313021 , Contempt ) Alienor's Contempt heals Alienor for 0. (89 overheal)
04:35:09: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (106 overheal)
04:35:09: ( 1 , T=P#R=O#211669182564756981 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Navarriel , Unknown , 0 , 2102262591 , Salvage Accessories ) Navarriel begins casting Salvage Accessories.
04:35:09: ( 9 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 0 , 167933921 , Vex ) Alienor's Vex dissipates from Normal Practice Dummy.
04:35:09: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 91 , 167933921 , Vex ) Normal Practice Dummy suffers 91 Death damage from Alienor's Vex. 
04:35:09: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 262 , 209670535 , Strike of Judgment ) Alienor's Strike of Judgment hits Normal Practice Dummy for 262 Life damage. 
04:35:09: ( 6 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1626474066 , Conviction ) Alienor gains Alienor's Conviction.
04:35:10: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1545154432 , Crystal Vine ) Alienor's Crystal Vine heals Alienor for 0. (150 overheal)
04:35:10: ( 27 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 81 , 1096897702 , Endless Winter ) Alienor's Endless Winter gives Alienor 81 Mana.
04:35:10: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (43 overheal)
04:35:10: ( 23 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 248 , 1630486843 , Lightning ) Alienor's Lightning critically hits Normal Practice Dummy for 248 Air damage. 
04:35:10: ( 23 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 177 , 418298310 , Auto Attack ) Alienor's Auto Attack critically hits Normal Practice Dummy for 177 Physical damage. 
04:35:11: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (96 overheal)
04:35:11: ( 6 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1626474066 , Conviction ) Alienor gains Alienor's Conviction.
04:35:11: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 238 , 209670535 , Strike of Judgment ) Alienor's Strike of Judgment hits Normal Practice Dummy for 238 Life damage. 
04:35:11: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 607 , 428414027 , Jolt ) Alienor's Jolt hits Normal Practice Dummy for 607 Air damage. 
04:35:12: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (108 overheal)
04:35:12: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1545154432 , Crystal Vine ) Alienor's Crystal Vine heals Alienor for 0. (150 overheal)
04:35:12: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 130 , 1630486843 , Lightning ) Normal Practice Dummy suffers 130 Air damage from Alienor's Lightning. 
04:35:13: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 267 , 209670535 , Strike of Judgment ) Alienor's Strike of Judgment hits Normal Practice Dummy for 267 Life damage. 
04:35:13: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (108 overheal)
04:35:13: ( 6 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1626474066 , Conviction ) Alienor gains Alienor's Conviction.
04:35:14: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 83 , 418298310 , Auto Attack ) Alienor's Auto Attack hits Normal Practice Dummy for 83 Physical damage. 
04:35:14: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1545154432 , Crystal Vine ) Alienor's Crystal Vine heals Alienor for 0. (150 overheal)
04:35:14: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (42 overheal)
04:35:14: ( 9 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 0 , 1630486843 , Lightning ) Alienor's Lightning dissipates from Normal Practice Dummy.
04:35:14: ( 8 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 0 , 1630486843 , Lightning ) Normal Practice Dummy is afflicted by Alienor's Lightning.
04:35:14: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 130 , 1630486843 , Lightning ) Normal Practice Dummy suffers 130 Air damage from Alienor's Lightning. 
04:35:14: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 239 , 1083839719 , Lightning Hammer ) Alienor's Lightning Hammer hits Normal Practice Dummy for 239 Physical damage. 
04:35:14: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 217101890 , Sparkling Extraplanar Gem ) Alienor's Sparkling Extraplanar Gem heals Alienor for 0. (123 overheal)
04:35:16: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1545154432 , Crystal Vine ) Alienor's Crystal Vine heals Alienor for 0. (150 overheal)
04:35:16: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (46 overheal)
04:35:16: ( 8 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 0 , 1437087468 , Eye of the Storm ) Normal Practice Dummy is afflicted by Alienor's Eye of the Storm.
04:35:16: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 256 , 805220428 , Strike of the Maelstrom ) Alienor's Strike of the Maelstrom hits Normal Practice Dummy for 256 Physical damage. 
04:35:16: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1545154432 , Crystal Vine ) Alienor's Crystal Vine heals Alienor for 0. (150 overheal)
04:35:16: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (23 overheal)
04:35:16: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 130 , 1630486843 , Lightning ) Alienor's Lightning hits Normal Practice Dummy for 130 Air damage. 
04:35:16: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 217101890 , Sparkling Extraplanar Gem ) Alienor's Sparkling Extraplanar Gem heals Alienor for 0. (123 overheal)
04:35:17: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 52 , 418298310 , Auto Attack ) Alienor's Auto Attack hits Normal Practice Dummy for 52 Physical damage. 
04:35:17: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (6 overheal)
04:35:17: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 38 , 1437087468 , Eye of the Storm ) Alienor's Eye of the Storm hits Normal Practice Dummy for 38 Air damage. 
04:35:18: ( 3 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 259 , 41835013 , Even Justice ) Alienor's Even Justice hits Normal Practice Dummy for 259 Life damage. 
04:35:18: ( 4 , T=P#R=O#211669182505119958 , T=N#R=O#9223372041250411535 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Normal Practice Dummy , 38 , 1437087468 , Eye of the Storm ) Normal Practice Dummy suffers 38 Air damage from Alienor's Eye of the Storm. 
04:35:18: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 293562978 , Salvation ) Alienor's Salvation heals Alienor for 0. (105 overheal)
04:35:18: ( 6 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1626474066 , Conviction ) Alienor gains Alienor's Conviction.
04:35:18: ( 5 , T=P#R=O#211669182505119958 , T=P#R=O#211669182505119958 , T=X#R=X#0 , T=X#R=X#0 , Alienor , Alienor , 0 , 1545154432 , Crystal Vine ) Alienor's Crystal Vine heals Alienor for 0. (150 overheal)
